time,heatCapacitor_T,switch_Controll
1.6,25.44363094024129,1.0
1.62,25.432748483207035,1.0
1.64,25.421888020454105,1.0
1.66,25.411049551982615,1.0
1.68,25.400233077792507,1.0
1.7,25.38943859788378,1.0
1.72,25.37866611225644,1.0
1.74,25.36791562091048,1.0
1.76,25.357187123845904,1.0
1.78,25.34648062106271,1.0
1.8,25.3357961125609,1.0
1.82,25.32513359834047,1.0
1.84,25.314493078401483,1.0
1.86,25.30386200774899,1.0
1.88,25.29322023748699,1.0
1.9,25.28259910969075,1.0
1.92,25.271998624360435,1.0
1.94,25.261418781495877,1.0
1.96,25.25085958109719,1.0
1.98,25.24032102316437,1.0
2.0,25.229803107697364,1.0
2.02,25.219366215646858,1.0
2.04,25.209003072246787,1.0
2.06,25.198660173379437,1.0
2.08,25.188330991364523,1.0
2.1,25.178015526202046,1.0
2.12,25.167713777892118,1.0
2.14,25.157425746434626,1.0
2.16,25.14715143182957,1.0
2.18,25.136890834077064,1.0
2.2,25.126643953176995,1.0
2.22,25.116410789129418,1.0
2.24,25.106192071561566,1.0
2.26,25.096012082476364,1.0
2.26257,25.09470526099011,1.0
2.26257,25.09470526099011,1.0
2.28,25.254875809221005,0.0
2.3,25.439559834094894,0.0
2.32,25.623815882704662,0.0
2.34,25.807734418880102,0.0
2.36,25.991315442621328,0.0
2.38,26.17431614182243,0.0
2.4,26.356853521363007,0.0
2.42,26.538944614793877,0.0
2.44,26.72058942211504,0.0
2.46,26.901710140483317,0.0
2.48,27.08235090896659,0.0
2.5,27.262513071047863,0.0
2.52,27.44219592818206,0.0
2.54,27.62137997896002,0.0
2.56,27.80007991003015,0.0
2.58,27.978295721392442,0.0
2.6,28.1560274130469,0.0
2.62,28.333274984993523,0.0
2.64,28.51003843723231,0.0
2.66,28.686348290841977,0.0
2.67304,28.801061983437478,0.0
2.67304,28.801061983437478,0.0
2.68,28.80179295894493,1.0
2.7,28.784250375059116,1.0
2.72,28.766740734629707,1.0
2.74,28.749254405699276,1.0
2.76,28.731791388267936,1.0
2.78,28.71435168233569,1.0
2.8,28.69696533558232,1.0
2.82,28.679611386842964,1.0
2.84,28.66228825149983,1.0
2.86,28.64499592955292,1.0
2.88,28.627734421002174,1.0
2.9,28.61050372584765,1.0
